641.54407,455.7472;1057.5739,455.64886;1057.5227,621.4484;641.48,621.57983
127.88268,1002.1704;190.56883,1002.1415;190.60352,1151.8594;127.925476,1151.8566
117.726265,5234.373;209.67711,5234.352;209.67146,5418.99;117.73616,5419.045
6832.2373,1906.307;7401.276,1905.3374;7401.096,2000.4261;6832.089,2001.3613
1152.6393,772.46155;2272.1333,772.3031;2272.143,876.28876;1152.654,876.41254
96.30712,2336.9868;205.81308,2336.919;205.82173,2491.6777;96.32129,2491.7295
2365.834,1264.7228;2446.7117,1263.7411;2446.2507,1439.723;2365.3774,1440.5573
3611.4573,3412.672;4253.651,3412.224;4253.4526,3822.2634;3611.2678,3822.6465
6846.6587,2968.598;7430.0205,2967.8494;7429.697,3072.2192;6846.368,3072.9424
102.97176,1602.3092;194.1517,1602.2964;194.1836,1729.8606;103.03125,1729.9032
108.01875,4961.2974;204.89038,4961.292;204.90157,5126.2466;108.05009,5126.292
2373.3696,3147.6638;3280.7737,3146.8967;3280.4578,3331.7727;2373.0723,3332.4575
110.74815,2714.0854;197.30295,2714.1487;197.35164,2839.6382;110.80556,2839.601
107.37137,1414.7429;190.24013,1414.7784;190.24832,1556.88;107.42311,1556.9178
2381.9233,3927.1113;3505.611,3926.627;3505.3992,4133.6426;2381.7307,4134.1094
7472.9336,5060.916;8106.2554,5060.341;8105.983,5240.756;7472.661,5241.2637
1022.55054,5253.9683;2078.9492,5253.9976;2079.069,5401.743;1022.6827,5401.6973
3637.06,5511.205;4044.602,5511.2417;4044.589,5699.2983;3637.0435,5699.3013
2316.1152,5179.56;3633.6868,5179.226;3633.5474,5638.497;2315.9905,5638.7607
6320.985,1961.827;6677.118,1961.4912;6677.047,2059.518;6320.9336,2059.7893
97.99812,2574.2004;192.31393,2574.2544;192.34436,2731.4849;98.03009,2731.459
2351.948,1547.8062;3249.285,1547.7653;3249.2803,1729.5828;2351.942,1729.6213
7478.85,1063.6677;8248.035,1063.5251;8248.186,1215.4543;7478.964,1215.5715
100.98021,1738.2151;200.83186,1738.2164;200.88455,1898.8962;101.03619,1898.8864
807.00446,4459.153;2133.182,4458.5815;2132.9114,4794.103;806.7751,4794.7275
103.9507,3040.7292;198.82228,3040.68;198.83958,3178.333;103.98497,3178.3718
5521.1157,1877.9277;6220.567,1877.8472;6220.569,2044.9653;5521.121,2045.0159
