929.06744,405.57037;1532.4458,405.09644;1532.265,464.2367;928.907,464.7011
1398.9825,946.71674;1577.82,946.6534;1577.8042,1000.6435;1398.958,1000.7722
1618.015,2322.2031;1884.8634,2322.1716;1884.8977,2377.9922;1618.04,2378.0251
2166.8687,2972.257;2347.5032,2972.279;2347.5342,3024.1724;2166.9084,3024.1353
4212.142,407.9727;4513.637,407.92004;4513.5356,465.08173;4212.0474,465.11124
79.03217,3190.732;349.64682,3190.6729;349.6147,3338.3494;78.99977,3338.416
90.66089,1620.0983;201.47179,1620.0566;201.47343,1740.9047;90.670204,1740.9683
83.32304,362.24222;151.35603,362.29123;151.3529,487.0175;83.30465,486.99353
2161.5176,2095.0813;2494.7173,2093.867;2494.3586,2148.4688;2161.1829,2149.5522
2162.5017,2300.013;2277.7683,2299.9775;2277.8215,2345.1848;2162.545,2345.2168
2258.5403,589.03467;2439.593,588.3908;2439.5063,649.12885;2258.443,649.7405
1690.8127,638.8849;1928.2203,638.96295;1928.2635,684.5639;1690.8602,684.50433
75.96678,2273.8901;213.93214,2273.813;213.90251,2488.1394;75.9405,2488.224
2168.0525,2964.6265;2478.4922,2963.9946;2478.3906,3012.9263;2167.9612,3013.5305
2160.3823,2799.5742;2397.8562,2799.3105;2397.8464,2850.353;2160.374,2850.617
2165.93,942.1259;2480.0193,941.47534;2479.694,1060.6448;2165.6157,1061.2874
386.8879,1819.338;512.0398,1818.9521;511.8591,1894.4673;386.70282,1894.7955
2260.3267,1779.0063;2441.4539,1779.0079;2441.501,1832.6539;2260.3777,1832.6597
90.75731,2612.685;143.17581,2612.6428;143.18083,2764.0186;90.764755,2764.0464
2181.0244,1628.8197;2416.1887,1627.9529;2416.062,1680.4064;2180.9246,1681.2596
1711.3878,343.616;2386.2334,343.56888;2386.188,424.29178;1711.367,424.3203
3588.3474,1679.3004;4531.874,1678.1139;4531.6304,1729.9547;3588.1309,1731.102
4838.4204,1582.3828;4922.13,1582.2994;4922.0967,1669.1288;4838.384,1669.2094
2614.5388,205.77007;4187.4243,205.4812;4187.315,307.9977;2614.4304,308.22604
1615.2701,1299.6766;2125.5532,1299.2794;2125.397,1375.9376;1615.1226,1376.2673
4829.1187,1781.8917;4923.7266,1781.8473;4923.724,1945.4386;4829.106,1945.4827
2589.8293,1470.3872;3564.0803,1469.8319;3563.854,1577.9152;2589.6143,1578.3922
2623.2505,217.54312;3641.2275,217.55415;3641.2485,309.28952;2623.2717,309.27655
4161.8193,2477.8933;4552.3936,2477.7778;4552.3486,2650.3262;4161.7764,2650.4268
83.45944,1324.0778;150.57208,1324.0751;150.61276,1394.5029;83.5016,1394.5022
696.5291,364.0003;833.5944,363.82053;833.5454,449.02136;696.48303,449.1624
2160.9688,1259.5447;2468.878,1259.3967;2468.8992,1315.8914;2160.992,1316.0372
980.04736,1753.4991;1530.7538,1753.4194;1530.7244,1865.3448;980.0172,1865.4203
2173.664,2355.5596;2440.481,2353.7183;2440.0862,2403.8318;2173.3147,2405.6213
4847.5005,1485.737;4914.5444,1485.7356;4914.5693,1559.5493;4847.5234,1559.5419
3610.3018,1411.8641;4547.814,1411.434;4547.6387,1532.2131;3610.1365,1532.5723
